80;-60;0
90;-70;10
110;-70;10
100;-60;0
80;-160;0
90;-170;10
110;-170;10
100;-160;0
40;-160;0
40;-180;0
50;-190;10
50;-170;10
140;-160;0
140;-180;0
150;-190;10
150;-170;10

0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0
0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0
0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1
0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0
0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
